R_kf_x,L_kf_x,R_x,L_x,R_kf_v,L_kf_v,R_v,L_v,R_kf_w,L_kf_w,a,w
-0.520920,-0.520920,17.455709,-19.697216,0.000477,0.000477,0.000000,0.000000,-0.001309,-0.001309,-0.000025,-0.003894
-0.520915,-0.520915,17.455709,-19.697216,0.000548,0.000548,0.000000,0.000000,-0.015678,-0.015678,-0.026377,-0.016677
-0.520910,-0.520910,17.455709,-19.697216,0.000455,0.000455,0.000000,0.000000,-0.009219,-0.009219,-0.001779,-0.008155
-0.520906,-0.520906,17.455709,-19.697216,0.000419,0.000419,0.000000,0.000000,0.005860,0.005860,-0.005213,0.012085
-0.520903,-0.520903,17.455709,-19.697216,0.000155,0.000155,0.000000,0.000000,0.000480,0.000480,-0.053313,-0.002828
-0.520903,-0.520903,17.455709,-19.697216,0.000115,0.000115,0.000000,0.000000,0.001751,0.001751,0.041746,0.003563
-0.520901,-0.520901,17.455709,-19.697216,0.000195,0.000195,0.000000,0.000000,-0.003748,-0.003748,0.025319,-0.008155
-0.520899,-0.520899,17.455709,-19.697216,0.000267,0.000267,0.000000,0.000000,-0.016694,-0.016694,-0.018842,-0.015612
-0.520896,-0.520896,17.455709,-19.697216,0.000217,0.000217,0.000000,0.000000,0.000353,0.000353,-0.022156,-0.000698
-0.520894,-0.520894,17.455709,-19.697216,0.000321,0.000321,0.000000,0.000000,0.001440,0.001440,-0.035091,0.004628
-0.520891,-0.520891,17.455709,-19.697216,0.000151,0.000151,0.000000,0.000000,0.001086,0.001086,0.011650,0.001433
-0.520891,-0.520891,17.455709,-19.697216,0.000038,0.000038,0.000000,0.000000,0.001404,0.001404,-0.020455,0.003563
-0.520890,-0.520890,17.455709,-19.697216,0.000114,0.000114,0.000000,0.000000,0.006107,0.006107,0.018779,0.009955
-0.520888,-0.520888,17.455709,-19.697216,0.000203,0.000203,0.000000,0.000000,0.003261,0.003261,0.000381,0.005694
-0.520886,-0.520886,17.455709,-19.697216,0.000195,0.000195,0.000000,0.000000,-0.003551,-0.003551,-0.067404,-0.008155
-0.520886,-0.520886,17.455709,-19.697216,0.000050,0.000050,0.000000,0.000000,-0.000037,-0.000037,0.018789,-0.001763
-0.520886,-0.520886,17.455709,-19.697216,-0.000019,-0.000019,0.000000,0.000000,-0.004940,-0.004940,0.002954,-0.014546
-0.520885,-0.520885,17.455709,-19.697216,0.000213,0.000213,0.000000,0.000000,0.005713,0.005713,0.022549,0.007824
-0.520882,-0.520882,17.455709,-19.697216,0.000325,0.000325,0.000000,0.000000,0.001430,0.001430,0.023446,0.006759
-0.520878,-0.520878,17.455709,-19.697216,0.000307,0.000307,0.000000,0.000000,-0.000296,-0.000296,-0.035598,-0.002828
-0.520877,-0.520877,17.455709,-19.697216,-0.000046,-0.000046,0.000000,0.000000,-0.018225,-0.018225,0.001134,-0.023068
-0.520878,-0.520878,17.455709,-19.697216,-0.000157,-0.000157,0.000000,0.000000,-0.001830,-0.001830,-0.042121,-0.000698
-0.520880,-0.520880,17.455709,-19.697216,-0.000273,-0.000273,0.000000,0.000000,0.010753,0.010753,-0.011935,0.017412
-0.520883,-0.520883,17.455709,-19.697216,-0.000229,-0.000229,0.000000,0.000000,0.017182,0.017182,0.031232,0.022738
-0.520886,-0.520886,17.455709,-19.697216,-0.000315,-0.000315,0.000000,0.000000,-0.002850,-0.002850,0.017176,-0.002828
-0.520889,-0.520889,17.455709,-19.697216,-0.000316,-0.000316,0.000000,0.000000,-0.002920,-0.002920,0.011552,-0.001763
-0.520891,-0.520891,17.455709,-19.697216,-0.000282,-0.000282,0.000000,0.000000,0.003022,0.003022,-0.006257,0.003563
-0.520894,-0.520894,17.455709,-19.697216,-0.000245,-0.000245,0.000000,0.000000,-0.001066,-0.001066,0.009815,-0.000698
-0.520896,-0.520896,17.455709,-19.697216,-0.000123,-0.000123,0.000000,0.000000,-0.003570,-0.003570,-0.037505,-0.006024
-0.520898,-0.520898,17.455709,-19.697216,-0.000211,-0.000211,0.000000,0.000000,0.005865,0.005865,0.016529,0.011020
-0.520900,-0.520900,17.455709,-19.697216,-0.000284,-0.000284,0.000000,0.000000,-0.001085,-0.001085,0.009752,0.000367
-0.520903,-0.520903,17.455709,-19.697216,-0.000254,-0.000254,0.000000,0.000000,0.008792,0.008792,0.000728,0.013151
-0.520906,-0.520906,17.455709,-19.697216,-0.000406,-0.000406,0.000000,0.000000,-0.010672,-0.010672,0.015203,-0.016677
-0.520912,-0.520912,17.455709,-19.697216,-0.000642,-0.000642,0.000000,0.000000,0.005066,0.005066,-0.022532,0.006759
-0.520919,-0.520919,17.455709,-19.697216,-0.000656,-0.000656,0.000000,0.000000,-0.014766,-0.014766,0.009866,-0.025199
-0.520925,-0.520925,17.455709,-19.697216,-0.000565,-0.000565,0.000000,0.000000,-0.017025,-0.017025,-0.013742,-0.023068
-0.520931,-0.520931,17.455709,-19.697216,-0.000624,-0.000624,0.000000,0.000000,-0.009743,-0.009743,-0.031435,-0.013481
-0.520937,-0.520937,17.455709,-19.697216,-0.000616,-0.000616,0.000000,0.000000,0.011683,0.011683,0.005462,0.019542
-0.520943,-0.520943,17.455709,-19.697216,-0.000644,-0.000644,0.000000,0.000000,0.007600,0.007600,-0.062096,0.002498
-0.520950,-0.520950,17.455709,-19.697216,-0.000676,-0.000676,0.000000,0.000000,0.009786,0.009786,-0.015081,0.011020
-0.520958,-0.520958,17.455709,-19.697216,-0.000887,-0.000887,0.000000,0.000000,-0.016972,-0.016972,-0.017013,-0.025199
-0.520968,-0.520968,17.455709,-19.697216,-0.001053,-0.001053,0.000000,0.000000,0.005100,0.005100,0.013227,0.006759
-0.520978,-0.520978,17.455709,-19.697216,-0.001028,-0.001028,0.000000,0.000000,0.000672,0.000672,0.009715,0.003563
-0.520988,-0.520988,17.455709,-19.697216,-0.000962,-0.000962,0.000000,0.000000,0.002663,0.002663,-0.029968,0.004628
-0.520998,-0.520998,17.455709,-19.697216,-0.000930,-0.000930,0.000000,0.000000,0.006910,0.006910,0.059604,0.006759
-0.521006,-0.521006,17.455709,-19.697216,-0.000786,-0.000786,0.000000,0.000000,-0.014082,-0.014082,0.013120,-0.015612
-0.521014,-0.521014,17.455709,-19.697216,-0.000867,-0.000867,0.000000,0.000000,0.008310,0.008310,-0.012004,0.011020
-0.521023,-0.521023,17.455709,-19.697216,-0.001015,-0.001015,0.000000,0.000000,-0.019278,-0.019278,0.002503,-0.026264
-0.521035,-0.521035,17.455709,-19.697216,-0.001178,-0.001178,0.000000,0.000000,-0.003074,-0.003074,0.025693,-0.002828
-0.521045,-0.521045,17.455709,-19.697216,-0.000931,-0.000931,0.000000,0.000000,-0.018272,-0.018272,-0.004856,-0.020938
-0.521054,-0.521054,17.455709,-19.697216,-0.000808,-0.000808,0.000000,0.000000,0.018852,0.018852,-0.001578,0.021673
-0.521061,-0.521061,17.455709,-19.697216,-0.000748,-0.000748,0.000000,0.000000,-0.000018,-0.000018,-0.007442,0.000367
-0.521069,-0.521069,17.455709,-19.697216,-0.000817,-0.000817,0.000000,0.000000,0.008265,0.008265,0.039488,0.013151
-0.521077,-0.521077,17.455709,-19.697216,-0.000804,-0.000804,0.000000,0.000000,-0.006459,-0.006459,0.001866,-0.007090
-0.521085,-0.521085,17.455709,-19.697216,-0.000766,-0.000766,0.000000,0.000000,-0.004851,-0.004851,0.003448,-0.011351
