v,I,P,PR,PL,TR,TL,TRR,TRL,WR,WL,BR,BL,total,total_bias
23.670000,0.160000,3.787200,2.000000,2.000000,0.000000,0.000000,-0.002127,-0.019406,0.000000,0.000000,1.787200,1.787200,4.000000,-0.212800
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,0.014090,0.000266,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,-0.015153,-0.019406,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,0.018609,0.009304,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,-0.000798,-0.010102,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,0.016482,0.009304,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.150000,3.549000,2.000000,2.000000,0.000000,0.000000,-0.000798,0.009304,0.000000,0.000000,1.549000,1.549000,4.000000,-0.451000
23.660000,0.170000,4.022200,2.000000,2.000000,0.000000,0.000000,0.000266,-0.010102,0.000000,0.000000,2.022200,2.022200,4.000000,0.022200
23.660000,0.170000,4.022200,2.000000,2.000000,0.000000,0.000000,-0.000798,0.009304,0.000000,0.000000,2.022200,2.022200,4.000000,0.022200
23.660000,0.170000,4.022200,2.000000,2.000000,0.000000,0.000000,0.000266,-0.019406,0.000000,0.000000,2.022200,2.022200,4.000000,0.022200
23.660000,0.170000,4.022200,2.000000,2.000000,0.000000,0.000000,0.001329,0.000266,0.000000,0.000000,2.022200,2.022200,4.000000,0.022200
23.639999,0.170000,4.018800,2.000000,2.000000,0.000000,0.000000,0.000266,0.009304,0.000000,0.000000,2.018800,2.018800,4.000000,0.018800
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,-0.016216,0.010368,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.660000,0.170000,4.022200,2.000000,2.000000,0.000000,0.000000,-0.000798,0.057953,0.000000,0.000000,2.022200,2.022200,4.000000,0.022200
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,-0.000798,-0.010102,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
23.660000,0.160000,3.785600,2.000000,2.000000,0.000000,0.000000,0.015153,0.009304,0.000000,0.000000,1.785600,1.785600,4.000000,-0.214400
